Participant,Group,Fluency,Adequecy of Explanations,Trust,S1 Optimism,"S1 Negative Attitude toward Situations
of Interaction with Robots",Robot utterances to complete whole task,Robot's Action in order to point,Feedback (failure),Participant's ask experimenter,Participant's utterances,Participant's actions,Partcipant's gestures,Smiles,Task Completion,Time Duration
1,Non-Primed,3,3,4,4.25,1.4,16,4,16,1,1,64,4,1,0,464
2,Non-Primed,5,4.666666667,4.333333333,3.75,2,16,4,13,0,0,30,5,0,100,386
3,Non-Primed,3,4.333333333,3.333333333,4.25,4,9,2,6,1,1,14,3,2,100,275
4,Non-Primed,2.5,2.333333333,2.666666667,3.5,3,7,2,6,1,0,10,0,0,100,240
5,Non-Primed,4,3,3.666666667,4,2.6,8,0,4,1,0,13,2,0,100,180
6,Non-Primed,3,2.666666667,3.333333333,3.75,2.6,11,4,14,1,0,29,1,1,50,371
7,Non-Primed,3,2,3.666666667,4.25,2,9,2,6,0,0,13,1,2,100,209
8,Non-Primed,5,3.333333333,3,4.75,2.6,7,1,3,1,0,10,1,2,100,198
9,Non-Primed,2.5,2.333333333,3,3.5,3.2,8,1,4,1,0,8,0,0,100,198
10,Non-Primed,3,1,3.333333333,3.5,3,8,0,8,1,0,10,3,2,100,270
11,Non-Primed,4,3.333333333,4,4.25,2.6,10,2,6,1,0,14,0,0,100,241
12,Non-Primed,3.5,4,4.333333333,4.25,1.8,10,1,6,0,4,17,1,3,100,240
13,Non-Primed,4.5,3,4,4.5,2,5,0,2,0,0,4,1,0,100,109
14,Non-Primed,3,2.666666667,3.333333333,4.5,1.2,8,1,3,0,0,9,0,0,100,240
15,Non-Primed,4.5,3.666666667,5,4.25,4,11,2,8,0,13,17,0,1,100,259
16,Non-Primed,3.5,1.666666667,2.666666667,4.25,2.4,8,2,5,0,0,11,0,3,50,234
17,Non-Primed,3,1.333333333,3.666666667,4.5,3.4,16,4,12,1,0,54,0,0,100,337
18,Non-Primed,3,2,2,3.25,2.8,7,2,7,1,3,12,0,4,75,234
19,Primed,4.5,4,4.666666667,5,1.4,5,0,2,1,1,4,1,1,100,193
20,Primed,3,4,3.666666667,4,2.8,16,4,11,0,0,9,0,0,100,131
21,Primed,4.5,4,4.333333333,4.5,1.8,5,0,1,1,0,6,0,0,100,422
22,Primed,1.5,2,4,4,2,5,0,1,0,0,7,0,0,100,126
23,Primed,4,2.666666667,4,4.5,1.8,5,0,1,0,0,8,0,1,100,122
24,Primed,3,3,2.666666667,3.75,2.6,7,1,3,1,0,5,0,0,100,189
25,Primed,3,2.666666667,4,5,2.6,11,2,9,2,1,20,0,1,100,385
26,Primed,5,2.333333333,4.333333333,3.5,1.8,6,0,1,0,1,10,3,4,100,154
27,Primed,4,4.333333333,4.666666667,4,2.6,5,0,1,0,0,5,0,1,100,131
28,Primed,5,4,4.666666667,4.25,2.4,5,0,1,0,3,5,1,3,100,135
29,Primed,4.5,3.333333333,4,5,1.2,9,2,7,0,0,15,0,0,100,262
30,Primed,4.5,4,4.666666667,4.25,3.4,5,0,1,0,0,8,0,0,100,123
31,Primed,4.5,5,4.333333333,4.25,3,4,0,2,0,0,7,0,0,100,80
32,Primed,1.5,1.666666667,2.666666667,5,3,6,1,8,1,0,9,2,0,100,189
33,Primed,4.5,5,4,3.75,3.4,11,2,6,0,0,10,0,0,100,223
34,Primed,4,2.333333333,3,5,2.8,12,2,16,0,1,14,0,3,100,275
35,Primed,3,3.333333333,2.666666667,4.25,3,3,0,0,1,0,3,0,0,100,92
36,Primed,2.5,3,2.666666667,4.25,4,6,0,6,1,0,16,1,2,100,255
